t_ms,Env_diff_x,Env_diff_z,bdot_x_env_LP,bdot_z_env_LP,B_rog_x_env_LP,B_rog_z_env_LP
0.0,-0.01,-0.011,0.0,0.0,0.01,0.011
0.8,-0.018,-0.019,0.001,0.001,0.019,0.02
1.6,-0.02,-0.022,0.001,0.001,0.021,0.023
2.4,-0.021,-0.022,0.001,0.001,0.022,0.023
3.2,-0.02,-0.022,0.001,0.001,0.021,0.023
4.0,-0.02,-0.022,0.001,0.001,0.022,0.023
4.8,-0.02,-0.022,0.001,0.001,0.021,0.024
5.6,-0.02,-0.022,0.001,0.001,0.021,0.023
6.4,-0.02,-0.022,0.001,0.001,0.021,0.023
7.2,-0.021,-0.022,0.001,0.001,0.022,0.022
8.0,-0.02,-0.022,0.001,0.001,0.021,0.023
8.8,-0.021,-0.022,0.001,0.001,0.021,0.023
9.6,-0.02,-0.022,0.001,0.001,0.021,0.023
10.4,-0.02,-0.021,0.001,0.001,0.021,0.023
11.2,-0.019,-0.021,0.001,0.001,0.02,0.023
12.0,-0.02,-0.021,0.001,0.001,0.021,0.023
12.8,-0.02,-0.021,0.001,0.001,0.021,0.023
13.6,-0.02,-0.022,0.001,0.001,0.021,0.023
14.4,-0.02,-0.022,0.001,0.001,0.021,0.023
15.2,-0.02,-0.022,0.001,0.001,0.021,0.023
16.0,-0.019,-0.022,0.001,0.001,0.02,0.023
16.8,-0.019,-0.022,0.001,0.001,0.02,0.023
17.6,-0.019,-0.021,0.001,0.001,0.02,0.022
18.4,-0.02,-0.021,0.001,0.001,0.02,0.022
19.2,-0.019,-0.021,0.001,0.001,0.02,0.023
20.0,-0.019,-0.022,0.001,0.001,0.02,0.023
20.8,-0.02,-0.021,0.001,0.002,0.021,0.023
21.6,-0.02,-0.021,0.001,0.001,0.021,0.023
22.4,-0.02,-0.022,0.001,0.001,0.021,0.023
23.2,-0.021,-0.022,0.001,0.001,0.022,0.023
24.0,-0.02,-0.022,0.001,0.001,0.021,0.023
24.8,-0.021,-0.022,0.001,0.001,0.022,0.023
25.6,-0.021,-0.022,0.001,0.001,0.022,0.023
26.4,-0.02,-0.022,0.001,0.001,0.021,0.023
