t_ms,Env_diff_x,Env_diff_z,bdot_x_env_LP,bdot_z_env_LP,B_rog_x_env_LP,B_rog_z_env_LP
0.0,-0.01,-0.011,0.0,0.001,0.01,0.012
0.8,-0.017,-0.02,0.001,0.001,0.018,0.022
1.6,-0.019,-0.022,0.001,0.001,0.02,0.023
2.4,-0.019,-0.022,0.001,0.001,0.02,0.023
3.2,-0.02,-0.022,0.001,0.001,0.021,0.023
4.0,-0.019,-0.022,0.001,0.001,0.02,0.023
4.8,-0.019,-0.022,0.001,0.001,0.02,0.023
5.6,-0.019,-0.022,0.001,0.001,0.02,0.023
6.4,-0.019,-0.022,0.001,0.001,0.02,0.023
7.2,-0.02,-0.022,0.001,0.001,0.021,0.023
8.0,-0.02,-0.021,0.001,0.001,0.021,0.022
8.8,-0.019,-0.021,0.001,0.001,0.02,0.022
9.6,-0.019,-0.021,0.001,0.001,0.021,0.023
10.4,-0.019,-0.022,0.001,0.001,0.02,0.023
11.2,-0.02,-0.022,0.001,0.001,0.021,0.022
12.0,-0.02,-0.022,0.001,0.001,0.021,0.023
12.8,-0.02,-0.022,0.001,0.001,0.021,0.023
13.6,-0.02,-0.022,0.001,0.001,0.02,0.023
14.4,-0.02,-0.022,0.001,0.001,0.02,0.023
15.2,-0.019,-0.021,0.001,0.001,0.02,0.023
16.0,-0.019,-0.021,0.001,0.001,0.02,0.022
16.8,-0.019,-0.021,0.001,0.001,0.02,0.023
17.6,-0.019,-0.022,0.001,0.001,0.02,0.023
18.4,-0.019,-0.022,0.001,0.001,0.021,0.023
19.2,-0.02,-0.022,0.001,0.001,0.021,0.023
20.0,-0.019,-0.021,0.001,0.001,0.021,0.022
20.8,-0.02,-0.021,0.001,0.001,0.021,0.022
21.6,-0.02,-0.022,0.001,0.001,0.021,0.023
22.4,-0.019,-0.022,0.001,0.001,0.02,0.023
23.2,-0.019,-0.021,0.001,0.001,0.02,0.023
24.0,-0.019,-0.021,0.001,0.001,0.02,0.023
24.8,-0.019,-0.021,0.001,0.001,0.02,0.023
25.6,-0.019,-0.022,0.001,0.001,0.02,0.023
26.4,-0.019,-0.022,0.001,0.001,0.02,0.023
27.2,-0.019,-0.022,0.001,0.001,0.02,0.023
28.0,-0.017,-0.019,0.002,0.003,0.02,0.022
